  Lines           Copies        Function name
      209 (0.0%)      4 (0.0%)  <alloc::collections::binary_heap::Hole<T> as core::ops::drop::Drop>::drop
      209 (0.0%)      2 (0.0%)  <serde::de::impls::<impl serde::de::Deserialize for std::collections::hash::map::HashMap<K,V,S>>::deserialize::MapVisitor<K,V,S> as serde::de::Visitor>::visit_map
      209 (0.0%)      1 (0.0%)  <stract_core::api::sites::_::<impl serde::de::Deserialize for stract_core::api::sites::SitesExportOpticParams>::deserialize::__Visitor as serde::de::Visitor>::visit_map
      208 (0.0%)     13 (0.0%)  <hashbrown::raw::RawTable<T,A> as core::ops::drop::Drop>::drop
      208 (0.0%)      4 (0.0%)  <serde::de::impls::<impl serde::de::Deserialize for core::net::socket_addr::SocketAddr>::deserialize::EnumVisitor as serde::de::Visitor>::visit_enum
      208 (0.0%)      2 (0.0%)  <tokio::runtime::task::join::JoinHandle<T> as core::future::future::Future>::poll
      208 (0.0%)      1 (0.0%)  <axum::extract::connect_info::ConnectInfo<T> as axum_core::extract::FromRequestParts<S>>::from_request_parts::{{closure}}
      208 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::connection::Connection::query_with_consistency<&&&[u8; 0]>::{{closure}}>
      208 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::connection::Connection::query_with_consistency<&alloc::borrow::Cow<scylla_cql::frame::value::SerializedValues>>::{{closure}}>
      208 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::connection::Connection::query_with_consistency<&scylla_cql::frame::value::SerializedValues>::{{closure}}>
      208 (0.0%)      1 (0.0%)  stract_core::api::webgraph::_::<impl serde::ser::Serialize for stract_core::api::webgraph::KnowsSite>::serialize
      207 (0.0%)      3 (0.0%)  hashbrown::raw::RawTable<T,A>::get
      207 (0.0%)      2 (0.0%)  tokio::net::lookup_host::lookup_host::{{closure}}
      207 (0.0%)      1 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CollectorConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      207 (0.0%)      1 (0.0%)  core::slice::sort::merge_sort::collapse
      207 (0.0%)      1 (0.0%)  stract_core::searcher::distributed::DistributedSearcher::get_entity_image::{{closure}}
      206 (0.0%)      4 (0.0%)  <F as clap_builder::builder::value_parser::TypedValueParser>::parse_ref::{{closure}}
      206 (0.0%)      4 (0.0%)  <tokio::future::maybe_done::MaybeDone<Fut> as core::future::future::Future>::poll
      206 (0.0%)      1 (0.0%)  csv::reader::Reader<R>::set_headers_impl
      205 (0.0%)     41 (0.1%)  tokio::loom::std::unsafe_cell::UnsafeCell<T>::new
      205 (0.0%)      5 (0.0%)  <tower::util::map_err::MapErr<S,F> as tower_service::Service<Request>>::call
      205 (0.0%)      2 (0.0%)  entity_index::entity::_::<impl serde::ser::Serialize for entity_index::entity::EntitySnippet>::serialize
      205 (0.0%)      2 (0.0%)  stract_core::search_prettifier::stack_overflow::_::<impl serde::ser::Serialize for stract_core::search_prettifier::stack_overflow::StackOverflowQuestion>::serialize
      205 (0.0%)      2 (0.0%)  utoipa::openapi::schema::_::<impl serde::ser::Serialize for utoipa::openapi::schema::Ref>::serialize
      205 (0.0%)      2 (0.0%)  webgraph::_::<impl serde::ser::Serialize for webgraph::Node>::serialize
      204 (0.0%)     12 (0.0%)  tokio::runtime::park::CachedParkThread::block_on::{{closure}}
      204 (0.0%)      8 (0.0%)  scylla::transport::session::Session::execute_paged::{{closure}}::{{closure}}
      204 (0.0%)      2 (0.0%)  <std::io::Bytes<R> as core::iter::traits::iterator::Iterator>::next
      203 (0.0%)      3 (0.0%)  <P as clap_builder::builder::value_parser::AnyValueParser>::parse_ref
      203 (0.0%)      1 (0.0%)  stract_core::searcher::distributed::Shard::retrieve_websites::{{closure}}
      202 (0.0%)      3 (0.0%)  hyper::proto::h1::decode::Decoder::decode::{{closure}}
      202 (0.0%)      1 (0.0%)  scylla::transport::connection::Connection::query_single_page_with_consistency::{{closure}}
      202 (0.0%)      1 (0.0%)  utoipa_swagger_ui::Config::new_
      201 (0.0%)      5 (0.0%)  tokio::sync::mpsc::chan::Chan<T,S>::send
      201 (0.0%)      3 (0.0%)  core::slice::<impl [T]>::swap
      201 (0.0%)      1 (0.0%)  scylla::transport::connection_pool::NodeConnectionPool::wait_until_initialized::{{closure}}
      201 (0.0%)      1 (0.0%)  scylla::transport::topology::query_keyspaces::{{closure}}::{{closure}}
      200 (0.0%)      4 (0.0%)  <toml_edit::de::value::ValueDeserializer as serde::de::Deserializer>::deserialize_option
      200 (0.0%)      2 (0.0%)  <axum::extension::Extension<T> as axum_core::extract::FromRequestParts<S>>::from_request_parts::{{closure}}
      200 (0.0%)      2 (0.0%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::deallocate_and_ascend
      200 (0.0%)      1 (0.0%)  alloc::sync::Arc<T,A>::from_box_in
      200 (0.0%)      1 (0.0%)  scylla::transport::iterator::SingleConnectionRowIteratorWorker<Fetcher>::work::{{closure}}
      200 (0.0%)      1 (0.0%)  stract_core::search_prettifier::stack_overflow::_::<impl serde::ser::Serialize for stract_core::search_prettifier::stack_overflow::CodeOrText>::serialize
      200 (0.0%)      1 (0.0%)  stract_core::widgets::_::<impl serde::ser::Serialize for stract_core::widgets::Widget>::serialize
      198 (0.0%)     22 (0.1%)  <bincode::ser::Compound<W,O> as serde::ser::SerializeSeq>::serialize_element
      198 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<chitchat::server::Server::run::{{closure}}>
      198 (0.0%)      1 (0.0%)  utoipa::openapi::security::_::<impl serde::ser::Serialize for utoipa::openapi::security::SecurityScheme>::serialize
      197 (0.0%)      6 (0.0%)  <tower::util::map_response::MapResponseLayer<F> as tower_layer::Layer<S>>::layer
      197 (0.0%)      3 (0.0%)  <P as clap_builder::builder::value_parser::AnyValueParser>::parse_
      197 (0.0%)      2 (0.0%)  <(http::status::StatusCode,T1,R) as axum_core::response::into_response::IntoResponse>::into_response
      197 (0.0%)      1 (0.0%)  stract_core::searcher::distributed::Shard::search::{{closure}}
      197 (0.0%)      1 (0.0%)  tracing_subscriber::filter::env::EnvFilter::on_new_span
      196 (0.0%)      8 (0.0%)  clap_builder::util::any_value::AnyValue::downcast_into::{{closure}}
      196 (0.0%)      1 (0.0%)  scylla::transport::topology::query_peers::{{closure}}::{{closure}}::{{closure}}
      196 (0.0%)      1 (0.0%)  stract_core::searcher::distributed::DistributedSearcher::search_initial::{{closure}}
      195 (0.0%)      5 (0.0%)  <dyn core::any::Any>::downcast_ref
      195 (0.0%)      5 (0.0%)  tokio::sync::mpsc::list::channel
      195 (0.0%)      3 (0.0%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
      195 (0.0%)      1 (0.0%)  chitchat::server::spawn_chitchat::{{closure}}::{{closure}}
      195 (0.0%)      1 (0.0%)  quick_xml::events::attributes::Attribute::decode_and_unescape_value_with
      195 (0.0%)      1 (0.0%)  stract_core::crawler::warc_writer::WarcWriter::finish::{{closure}}
      194 (0.0%)      2 (0.0%)  utoipa::openapi::schema::omit_decimal_zero
      194 (0.0%)      1 (0.0%)  <toml_edit::de::table::TableMapAccess as serde::de::EnumAccess>::variant_seed
      193 (0.0%)      5 (0.0%)  <clap_builder::builder::value_parser::RangedU64ValueParser<T> as clap_builder::builder::value_parser::TypedValueParser>::parse_ref::{{closure}}
      193 (0.0%)      1 (0.0%)  stract_core::api::autosuggest::route::{{closure}}
      192 (0.0%)      4 (0.0%)  serde_json::read::error
      192 (0.0%)      3 (0.0%)  serde::de::value::MapDeserializer<I,E>::next_pair
      192 (0.0%)      3 (0.0%)  tokio::sync::mpsc::list::Rx<T>::free_blocks
      192 (0.0%)      2 (0.0%)  hashbrown::raw::RawTable<T,A>::fallible_with_capacity
      191 (0.0%)      1 (0.0%)  h2::proto::go_away::GoAway::send_pending_go_away
      191 (0.0%)      1 (0.0%)  tokio::runtime::io::registration::Registration::async_io::{{closure}}
      190 (0.0%)      1 (0.0%)  utoipa::openapi::path::_::<impl serde::ser::Serialize for utoipa::openapi::path::PathItem>::serialize
      189 (0.0%)      9 (0.0%)  sonic::service::ResilientConnection<S>::send_with_timeout
      189 (0.0%)      1 (0.0%)  quick_xml::reader::Reader<R>::read_event_impl
      189 (0.0%)      1 (0.0%)  serde_json::value::ser::<impl serde::ser::Serialize for serde_json::value::Value>::serialize
      189 (0.0%)      1 (0.0%)  tokio::sync::oneshot::Inner<T>::poll_recv
      188 (0.0%)      4 (0.0%)  core::slice::<impl [T]>::iter
      188 (0.0%)      3 (0.0%)  <P as clap_builder::builder::value_parser::AnyValueParser>::parse
      188 (0.0%)      1 (0.0%)  chitchat::server::select_nodes_for_gossip
      188 (0.0%)      1 (0.0%)  scylla::transport::session::Session::await_schema_agreement_indefinitely::{{closure}}
      187 (0.0%)      5 (0.0%)  tokio::sync::mpsc::bounded::Permit<T>::send
      187 (0.0%)      2 (0.0%)  scylla::transport::topology::query_user_defined_types::{{closure}}::{{closure}}
      187 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::webgraph::ingoing_links::{{closure}}>
      187 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::webgraph::outgoing_links::{{closure}}>
      187 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::entrypoint::search_server::run::{{closure}}>
      187 (0.0%)      1 (0.0%)  serde_json::de::Deserializer<R>::peek_invalid_type
      186 (0.0%)      5 (0.0%)  tokio::sync::mpsc::chan::Tx<T,S>::send
      186 (0.0%)      3 (0.0%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
      186 (0.0%)      2 (0.0%)  <F as clap_builder::builder::value_parser::TypedValueParser>::parse_ref
      186 (0.0%)      2 (0.0%)  alloc::collections::btree::map::BTreeMap<K,V,A>::get
      185 (0.0%)     33 (0.1%)  <T as core::convert::Into<U>>::into
      185 (0.0%)     26 (0.1%)  <serde::de::value::StringDeserializer<E> as serde::de::Deserializer>::deserialize_any
      185 (0.0%)     14 (0.0%)  <serde::ser::impossible::Impossible<Ok,Error> as serde::ser::SerializeStruct>::serialize_field
      185 (0.0%)      5 (0.0%)  alloc::slice::<impl [T]>::sort_by::{{closure}}
      185 (0.0%)      5 (0.0%)  serde_path_to_error::de::<impl serde::de::Visitor for serde_path_to_error::wrap::Wrap<X>>::visit_some
      185 (0.0%)      2 (0.0%)  core::iter::adapters::try_process
      184 (0.0%)     23 (0.1%)  serde::ser::impls::<impl serde::ser::Serialize for alloc::collections::btree::map::BTreeMap<K,V>>::serialize
      184 (0.0%)      8 (0.0%)  <core::iter::adapters::filter_map::FilterMap<I,F> as core::iter::traits::iterator::Iterator>::size_hint
      184 (0.0%)      4 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_loop::{{closure}}
      184 (0.0%)      1 (0.0%)  scylla::transport::connection::Connection::query_single_page::{{closure}}
      184 (0.0%)      1 (0.0%)  scylla::transport::topology::query_filter_keyspace_name::{{closure}}
      184 (0.0%)      1 (0.0%)  stract_core::api::improvement::click::{{closure}}
      183 (0.0%)      1 (0.0%)  alloc::vec::Vec<T,A>::extend_with
      183 (0.0%)      1 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::encode_head
      182 (0.0%)      4 (0.0%)  <serde_json::de::UnitVariantAccess<R> as serde::de::EnumAccess>::variant_seed
      182 (0.0%)      2 (0.0%)  tokio::sync::mpsc::list::Tx<T>::reclaim_block
      182 (0.0%)      1 (0.0%)  stract_core::api::explore::explore_export_optic::{{closure}}
      181 (0.0%)      3 (0.0%)  scylla::transport::topology::create_peer_from_row::{{closure}}::{{closure}}
      181 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::service::Server<stract_core::entrypoint::crawler::coordinator::CoordinatorService>::accept::{{closure}}::{{closure}}>
      181 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::service::Server<stract_core::entrypoint::search_server::SearchService>::accept::{{closure}}::{{closure}}>
      181 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::service::Server<stract_core::entrypoint::webgraph_server::WebGraphService>::accept::{{closure}}::{{closure}}>
      180 (0.0%)     20 (0.1%)  bincode::internal::serialized_size::{{closure}}
      180 (0.0%)     18 (0.1%)  core::error::Error::provide
      180 (0.0%)     10 (0.0%)  anyhow::error::object_ref
      180 (0.0%)     10 (0.0%)  futures_util::stream::futures_unordered::task::Task<Fut>::spin_next_all
      180 (0.0%)      6 (0.0%)  <serde_path_to_error::de::MapAccess<X> as serde::de::MapAccess>::next_key_seed
      180 (0.0%)      4 (0.0%)  core::slice::<impl [T]>::iter_mut
      180 (0.0%)      3 (0.0%)  hyper::common::exec::Exec::execute
      180 (0.0%)      1 (0.0%)  <axum_core::response::append_headers::AppendHeaders<I> as axum_core::response::into_response_parts::IntoResponseParts>::into_response_parts
      180 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<chitchat::server::spawn_chitchat::{{closure}}>
      180 (0.0%)      1 (0.0%)  scylla::transport::iterator::RowIterator::new_for_connection_query_iter::{{closure}}::{{closure}}
      180 (0.0%)      1 (0.0%)  stract_core::searcher::api::ApiSearcher::sidebar::{{closure}}
      180 (0.0%)      1 (0.0%)  stract_core::searcher::distributed::Shard::get_webpage::{{closure}}
      180 (0.0%)      1 (0.0%)  tokio::util::linked_list::LinkedList<L,<L as tokio::util::linked_list::Link>::Target>::remove
      179 (0.0%)      2 (0.0%)  utoipa::openapi::response::_::<impl serde::ser::Serialize for utoipa::openapi::response::Responses>::serialize
      179 (0.0%)      1 (0.0%)  tokio::net::tcp::listener::TcpListener::accept::{{closure}}
      178 (0.0%)      2 (0.0%)  axum::routing::method_routing::MethodEndpoint<S,B,E>::with_state
      178 (0.0%)      1 (0.0%)  <tokio_util::io::stream_reader::StreamReader<S,B> as tokio::io::async_buf_read::AsyncBufRead>::poll_fill_buf
      178 (0.0%)      1 (0.0%)  fst::raw::node::StateOneTrans::compile
      177 (0.0%)      3 (0.0%)  serde::__private::de::content::visit_content_map::{{closure}}
      177 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::service::Server<stract_core::entrypoint::crawler::router::RouterService>::accept::{{closure}}::{{closure}}>
      177 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::crawler::robots_txt::RobotsTxtManager::fetch_robots_txt::{{closure}}>
      176 (0.0%)     10 (0.0%)  <serde::de::impls::FromStrVisitor<T> as serde::de::Visitor>::visit_str
      176 (0.0%)      8 (0.0%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::IntoIterator>::into_iter
      176 (0.0%)      8 (0.0%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::size_hint
      176 (0.0%)      2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::drop_key_val
      175 (0.0%)     19 (0.1%)  <axum::boxed::MakeErasedHandler<H,S,B> as core::clone::Clone>::clone
      175 (0.0%)      5 (0.0%)  alloc::vec::Vec<T,A>::shrink_to_fit
      175 (0.0%)      5 (0.0%)  serde::ser::impls::<impl serde::ser::Serialize for alloc::string::String>::serialize
      175 (0.0%)      2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::KV>::split
      175 (0.0%)      1 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_bool
      175 (0.0%)      1 (0.0%)  <stract_core::ranking::bitvec_similarity::_::<impl serde::de::Deserialize for stract_core::ranking::bitvec_similarity::BitVec>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      175 (0.0%)      1 (0.0%)  <stract_core::ranking::bitvec_similarity::_::<impl serde::de::Deserialize for stract_core::ranking::bitvec_similarity::Posting>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      175 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::search::api::{{closure}}>
      175 (0.0%)      1 (0.0%)  stract_core::api::webgraph::host::ingoing_hosts::{{closure}}
      175 (0.0%)      1 (0.0%)  stract_core::api::webgraph::host::outgoing_hosts::{{closure}}
      174 (0.0%)     26 (0.1%)  tower::util::ServiceExt::map_future
      174 (0.0%)     26 (0.1%)  tower::util::ServiceExt::map_response
      174 (0.0%)     17 (0.1%)  <serde::de::value::BorrowedStrDeserializer<E> as serde::de::Deserializer>::deserialize_any
      174 (0.0%)     12 (0.0%)  tokio::runtime::scheduler::current_thread::CoreGuard::block_on::{{closure}}::{{closure}}
      174 (0.0%)      6 (0.0%)  <serde_urlencoded::de::Part as serde::de::Deserializer>::deserialize_any
      174 (0.0%)      6 (0.0%)  scylla::transport::session::Session::execute_query
      174 (0.0%)      3 (0.0%)  tokio::sync::mpsc::block::Block<T>::new
      174 (0.0%)      2 (0.0%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::try_fold
      174 (0.0%)      2 (0.0%)  <hyper::server::server::Connecting<I,F,E> as core::future::future::Future>::poll
      174 (0.0%)      2 (0.0%)  axum::routing::path_router::PathRouter<S,B,_>::route_endpoint
      173 (0.0%)      1 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,alloc::vec::into_iter::IntoIter<T>>>::from_iter
      173 (0.0%)      1 (0.0%)  <http::header::map::HeaderMap<T> as core::iter::traits::collect::Extend<(core::option::Option<http::header::name::HeaderName>,T)>>::extend
      173 (0.0%)      1 (0.0%)  alloc::collections::vec_deque::VecDeque<T,A>::write_iter_wrapping
      173 (0.0%)      1 (0.0%)  flate2::gz::bufread::GzDecoder<R>::new
      173 (0.0%)      1 (0.0%)  scylla::transport::node::Node::use_keyspace::{{closure}}
      173 (0.0%)      1 (0.0%)  stract_core::api::webgraph::page::ingoing_pages::{{closure}}
      173 (0.0%)      1 (0.0%)  stract_core::api::webgraph::page::outgoing_pages::{{closure}}
      172 (0.0%)      4 (0.0%)  arc_swap::debt::list::LocalNode::with::{{closure}}
      172 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Connection<stract_core::entrypoint::crawler::router::service_impl__::RequestRef,stract_core::entrypoint::crawler::router::service_impl__::Response>::send_without_timeout::{{closure}}>
      172 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Connection<stract_core::entrypoint::webgraph_server::service_impl__::RequestRef,stract_core::entrypoint::webgraph_server::service_impl__::Response>::send_without_timeout::{{closure}}>
      171 (0.0%)     24 (0.1%)  <serde::de::value::UsizeDeserializer<E> as serde::de::Deserializer>::deserialize_any
      171 (0.0%)      2 (0.0%)  <serde::__private::de::content::ContentVisitor as serde::de::Visitor>::visit_map
      170 (0.0%)     35 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
      170 (0.0%)     34 (0.1%)  <&mut T as core::ops::deref::Deref>::deref
      170 (0.0%)     10 (0.0%)  <futures_util::stream::futures_unordered::task::Task<Fut> as core::ops::drop::Drop>::drop
      170 (0.0%)      5 (0.0%)  <tower::util::map_err::MapErr<S,F> as tower_service::Service<Request>>::poll_ready
      170 (0.0%)      2 (0.0%)  <hyper::proto::h1::dispatch::Server<S,hyper::body::body::Body> as hyper::proto::h1::dispatch::Dispatch>::poll_ready::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  <hyper::server::server::new_svc::NewSvcTask<I,N,S,E,W> as core::future::future::Future>::poll::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  chitchat::server::resolve_seed_host::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  h2::proto::connection::Connection<T,P,B>::poll::{{closure}}
      170 (0.0%)      2 (0.0%)  h2::proto::settings::Settings::poll_send::{{closure}}
      170 (0.0%)      2 (0.0%)  h2::proto::settings::Settings::recv_settings::{{closure}}
      170 (0.0%)      2 (0.0%)  h2::proto::streams::prioritize::Prioritize::poll_complete::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::disable_keep_alive::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::on_read_head_error::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_shutdown::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_size_lf::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_flush::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::poll_flush::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::poll_flush_flattened::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::proto::h1::role::parse_headers::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::server::conn::Connection<I,S,E>::upgrade_h2::{{closure}}
      170 (0.0%)      2 (0.0%)  hyper::server::server::Server<I,S,E>::poll_next_::{{closure}}
      170 (0.0%)      2 (0.0%)  sonic::Connection<Req,Res>::send_without_timeout::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  stract_core::api::search::api::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  stract_core::entrypoint::search_server::run::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  stract_core::entrypoint::webgraph_server::run::{{closure}}::{{closure}}
      170 (0.0%)      2 (0.0%)  tracing_subscriber::layer::layered::Layered<A,B,S>::pick_interest
      170 (0.0%)      1 (0.0%)  <stract_core::config::ApiConfig as core::clone::Clone>::clone
      170 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<distributed::cluster::Cluster::join::{{closure}}>
      170 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::cluster::ClusterData::new::{{closure}}>
      169 (0.0%)     25 (0.1%)  serde::de::impls::<impl serde::de::Deserialize for alloc::vec::Vec<T>>::deserialize
      169 (0.0%)     19 (0.1%)  axum::handler::service::HandlerService<H,T,S,B>::new
      169 (0.0%)      2 (0.0%)  serde_json::de::from_trait
      169 (0.0%)      1 (0.0%)  stract_core::improvement::dump_queue::{{closure}}
      168 (0.0%)     14 (0.0%)  futures_util::future::try_future::into_future::_::<impl futures_util::future::try_future::into_future::IntoFuture<Fut>>::project
      168 (0.0%)      4 (0.0%)  tokio::sync::mutex::Mutex<T>::new
      168 (0.0%)      2 (0.0%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
      168 (0.0%)      2 (0.0%)  serde_path_to_error::de::<impl serde::de::EnumAccess for serde_path_to_error::wrap::Wrap<X>>::variant_seed
      168 (0.0%)      1 (0.0%)  <itertools::flatten_ok::FlattenOk<I,T,E> as core::iter::traits::iterator::Iterator>::next
      168 (0.0%)      1 (0.0%)  <webgraph::_::<impl serde::de::Deserialize for webgraph::FullEdge>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      168 (0.0%)      1 (0.0%)  async_compression::tokio::bufread::generic::encoder::Encoder<R,E>::do_poll_read
      168 (0.0%)      1 (0.0%)  fst::raw::build::Builder<W>::check_last_key
      167 (0.0%)      5 (0.0%)  hashbrown::map::HashMap<K,V,S,A>::remove
      167 (0.0%)      1 (0.0%)  h2::proto::streams::streams::Inner::poll_complete
      167 (0.0%)      1 (0.0%)  stract_core::entrypoint::autosuggest_scrape::save_queries
      166 (0.0%)      2 (0.0%)  std::sync::poison::map_result
      166 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::entrypoint::crawler::router::{{closure}}>
      166 (0.0%)      1 (0.0%)  stract_core::entrypoint::centrality::store_csv
      166 (0.0%)      1 (0.0%)  utoipa::openapi::header::_::<impl serde::ser::Serialize for utoipa::openapi::header::Header>::serialize
      166 (0.0%)      1 (0.0%)  utoipa::openapi::info::_::<impl serde::ser::Serialize for utoipa::openapi::info::License>::serialize
      166 (0.0%)      1 (0.0%)  utoipa::openapi::schema::_::<impl serde::ser::Serialize for utoipa::openapi::schema::Discriminator>::serialize
      166 (0.0%)      1 (0.0%)  utoipa::openapi::security::_::<impl serde::ser::Serialize for utoipa::openapi::security::ApiKeyValue>::serialize
      166 (0.0%)      1 (0.0%)  utoipa::openapi::security::_::<impl serde::ser::Serialize for utoipa::openapi::security::OAuth2>::serialize
      166 (0.0%)      1 (0.0%)  utoipa::openapi::security::_::<impl serde::ser::Serialize for utoipa::openapi::security::OpenIdConnect>::serialize
      166 (0.0%)      1 (0.0%)  webpage::safety_classifier::load_dataset
      165 (0.0%)      6 (0.0%)  webpage::schema_org::_::<impl serde::ser::Serialize for webpage::schema_org::OneOrMany<T>>::serialize
      165 (0.0%)      1 (0.0%)  <distributed::member::Service as core::cmp::PartialEq>::eq
      164 (0.0%)      1 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::ApiThresholds>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      164 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<chitchat::server::dns_refresh_loop::{{closure}}>
      164 (0.0%)      1 (0.0%)  stract_core::crawler::worker::WorkerThread::router_conn::{{closure}}
      163 (0.0%)      1 (0.0%)  <utoipa::openapi::path::Operation as core::clone::Clone>::clone
      163 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::searcher::api::ApiSearcher::discussions_widget::{{closure}}>
      163 (0.0%)      1 (0.0%)  hashbrown::raw::RawTableInner<A>::find_inner
      163 (0.0%)      1 (0.0%)  stract_core::crawler::robots_txt::RobotsTxtManager::is_allowed::{{closure}}
      162 (0.0%)     19 (0.1%)  core::ptr::write
      162 (0.0%)     18 (0.1%)  core::error::Error::cause
      162 (0.0%)      4 (0.0%)  alloc::collections::binary_heap::BinaryHeap<T,A>::push
      162 (0.0%)      4 (0.0%)  serde_path_to_error::de::<impl serde::de::EnumAccess for serde_path_to_error::wrap::Wrap<X>>::variant_seed::{{closure}}
      162 (0.0%)      3 (0.0%)  scylla::transport::session::Session::run_query::{{closure}}::{{closure}}::{{closure}}::{{closure}}
      162 (0.0%)      2 (0.0%)  hyper::error::Error::with
      162 (0.0%)      1 (0.0%)  csv::reader::Reader<R>::read_byte_record
      162 (0.0%)      1 (0.0%)  rand::seq::IteratorRandom::choose_multiple
      161 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::searcher::api::ApiSearcher::stackoverflow_sidebar::{{closure}}>
      161 (0.0%)      1 (0.0%)  hashbrown::raw::inner::RawTable<T,A>::clone_from_with_hasher
      160 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T,A>::remove_entry
      160 (0.0%)      4 (0.0%)  tracing_core::dispatcher::get_default
      160 (0.0%)      2 (0.0%)  axum::routing::path_router::PathRouter<S,B,_>::replace_endpoint
      160 (0.0%)      1 (0.0%)  <stract_core::entrypoint::webgraph_server::_::<impl serde::de::Deserialize for stract_core::entrypoint::webgraph_server::ScoredSite>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      160 (0.0%)      1 (0.0%)  alloc::vec::Vec<T,A>::split_off
      160 (0.0%)      1 (0.0%)  stract_core::widgets::thesaurus::_::<impl serde::ser::Serialize for stract_core::widgets::thesaurus::WordMeaning>::serialize
      159 (0.0%)      7 (0.0%)  core::array::iter::<impl core::iter::traits::collect::IntoIterator for [T; N]>::into_iter
