  Lines           Copies        Function name
     3079 (0.2%)     75 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
     3059 (0.2%)      4 (0.0%)  sonic::service::Server<S>::accept::{{closure}}::{{closure}}
     3040 (0.2%)     32 (0.1%)  <&alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     3030 (0.2%)     17 (0.1%)  <toml_edit::de::table::TableMapAccess as serde::de::MapAccess>::next_key_seed
     3008 (0.2%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::release
     2968 (0.2%)     18 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
     2910 (0.2%)     75 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     2899 (0.2%)    323 (1.0%)  std::panic::catch_unwind
     2844 (0.2%)      2 (0.0%)  <serde::de::impls::ArrayVisitor<[T; 16]> as serde::de::Visitor>::visit_seq
     2838 (0.2%)     22 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     2820 (0.2%)      4 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::S3Config>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     2805 (0.2%)     30 (0.1%)  tokio::task::spawn::spawn_inner
     2760 (0.2%)     30 (0.1%)  tokio::runtime::scheduler::multi_thread::handle::Handle::bind_new_task
     2730 (0.2%)     64 (0.2%)  tokio::runtime::task::core::Core<T,S>::poll
     2730 (0.2%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::WebgraphServerConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     2728 (0.2%)     31 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
     2724 (0.2%)      2 (0.0%)  <scylla::utils::pretty::CqlValueDisplayer<C> as core::fmt::Display>::fmt
     2717 (0.2%)     23 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     2709 (0.2%)      7 (0.0%)  core::slice::sort::merge
     2625 (0.2%)     25 (0.1%)  <toml_edit::de::table::TableMapAccess as serde::de::MapAccess>::next_value_seed
     2602 (0.2%)     10 (0.0%)  core::ptr::swap_nonoverlapping
     2560 (0.2%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::complete
     2550 (0.2%)     25 (0.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
